date,reason
2000-04-20,Pesach I
2000-04-21,Pesach II
2000-04-22,Pesach III (CH''M)
2000-04-23,Pesach IV (CH''M)
2000-04-24,Pesach V (CH''M)
2000-04-25,Pesach VI (CH''M)
2000-04-26,Pesach VII
2000-04-27,Pesach VIII
2000-06-09,Shavuot I
2000-06-10,Shavuot II
2000-09-30,Rosh Hashana 5761
2000-10-01,Rosh Hashana II
2000-10-09,Yom Kippur
2000-10-14,Sukkot I
2000-10-15,Sukkot II
2000-10-16,Sukkot III (CH''M)
2000-10-17,Sukkot IV (CH''M)
2000-10-18,Sukkot V (CH''M)
2000-10-19,Sukkot VI (CH''M)
2000-10-20,Sukkot VII (Hoshana Raba)
2000-10-21,Shmini Atzeret
2000-10-22,Simchat Torah
2001-04-08,Pesach I
2001-04-09,Pesach II
2001-04-10,Pesach III (CH''M)
2001-04-11,Pesach IV (CH''M)
2001-04-12,Pesach V (CH''M)
2001-04-13,Pesach VI (CH''M)
2001-04-14,Pesach VII
2001-04-15,Pesach VIII
2001-05-28,Shavuot I
2001-05-29,Shavuot II
2001-09-18,Rosh Hashana 5762
2001-09-19,Rosh Hashana II
2001-09-27,Yom Kippur
2001-10-02,Sukkot I
2001-10-03,Sukkot II
2001-10-04,Sukkot III (CH''M)
2001-10-05,Sukkot IV (CH''M)
2001-10-06,Sukkot V (CH''M)
2001-10-07,Sukkot VI (CH''M)
2001-10-08,Sukkot VII (Hoshana Raba)
2001-10-09,Shmini Atzeret
2001-10-10,Simchat Torah
2002-03-28,Pesach I
2002-03-29,Pesach II
2002-03-30,Pesach III (CH''M)
2002-03-31,Pesach IV (CH''M)
2002-04-01,Pesach V (CH''M)
2002-04-02,Pesach VI (CH''M)
2002-04-03,Pesach VII
2002-04-04,Pesach VIII
2002-05-17,Shavuot I
2002-05-18,Shavuot II
2002-09-07,Rosh Hashana 5763
2002-09-08,Rosh Hashana II
2002-09-16,Yom Kippur
2002-09-21,Sukkot I
2002-09-22,Sukkot II
2002-09-23,Sukkot III (CH''M)
2002-09-24,Sukkot IV (CH''M)
2002-09-25,Sukkot V (CH''M)
2002-09-26,Sukkot VI (CH''M)
2002-09-27,Sukkot VII (Hoshana Raba)
2002-09-28,Shmini Atzeret
2002-09-29,Simchat Torah
2003-04-17,Pesach I
2003-04-18,Pesach II
2003-04-19,Pesach III (CH''M)
2003-04-20,Pesach IV (CH''M)
2003-04-21,Pesach V (CH''M)
2003-04-22,Pesach VI (CH''M)
2003-04-23,Pesach VII
2003-04-24,Pesach VIII
2003-06-06,Shavuot I
2003-06-07,Shavuot II
2003-09-27,Rosh Hashana 5764
2003-09-28,Rosh Hashana II
2003-10-06,Yom Kippur
2003-10-11,Sukkot I
2003-10-12,Sukkot II
2003-10-13,Sukkot III (CH''M)
2003-10-14,Sukkot IV (CH''M)
2003-10-15,Sukkot V (CH''M)
2003-10-16,Sukkot VI (CH''M)
2003-10-17,Sukkot VII (Hoshana Raba)
2003-10-18,Shmini Atzeret
2003-10-19,Simchat Torah
2004-04-06,Pesach I
2004-04-07,Pesach II
2004-04-08,Pesach III (CH''M)
2004-04-09,Pesach IV (CH''M)
2004-04-10,Pesach V (CH''M)
2004-04-11,Pesach VI (CH''M)
2004-04-12,Pesach VII
2004-04-13,Pesach VIII
2004-05-26,Shavuot I
2004-05-27,Shavuot II
2004-09-16,Rosh Hashana 5765
2004-09-17,Rosh Hashana II
2004-09-25,Yom Kippur
2004-09-30,Sukkot I
2004-10-01,Sukkot II
2004-10-02,Sukkot III (CH''M)
2004-10-03,Sukkot IV (CH''M)
2004-10-04,Sukkot V (CH''M)
2004-10-05,Sukkot VI (CH''M)
2004-10-06,Sukkot VII (Hoshana Raba)
2004-10-07,Shmini Atzeret
2004-10-08,Simchat Torah
2005-04-24,Pesach I
2005-04-25,Pesach II
2005-04-26,Pesach III (CH''M)
2005-04-27,Pesach IV (CH''M)
2005-04-28,Pesach V (CH''M)
2005-04-29,Pesach VI (CH''M)
2005-04-30,Pesach VII
2005-05-01,Pesach VIII
2005-06-13,Shavuot I
2005-06-14,Shavuot II
2005-10-04,Rosh Hashana 5766
2005-10-05,Rosh Hashana II
2005-10-13,Yom Kippur
2005-10-18,Sukkot I
2005-10-19,Sukkot II
2005-10-20,Sukkot III (CH''M)
2005-10-21,Sukkot IV (CH''M)
2005-10-22,Sukkot V (CH''M)
2005-10-23,Sukkot VI (CH''M)
2005-10-24,Sukkot VII (Hoshana Raba)
2005-10-25,Shmini Atzeret
2005-10-26,Simchat Torah
2006-04-13,Pesach I
2006-04-14,Pesach II
2006-04-15,Pesach III (CH''M)
2006-04-16,Pesach IV (CH''M)
2006-04-17,Pesach V (CH''M)
2006-04-18,Pesach VI (CH''M)
2006-04-19,Pesach VII
2006-04-20,Pesach VIII
2006-06-02,Shavuot I
2006-06-03,Shavuot II
2006-09-23,Rosh Hashana 5767
2006-09-24,Rosh Hashana II
2006-10-02,Yom Kippur
2006-10-07,Sukkot I
2006-10-08,Sukkot II
2006-10-09,Sukkot III (CH''M)
2006-10-10,Sukkot IV (CH''M)
2006-10-11,Sukkot V (CH''M)
2006-10-12,Sukkot VI (CH''M)
